,code,real,predic,real_pct,pre_pct
19,sh.600745,70.8300,64.6103,0.10001553036185729,0.003421310090670593
45,sh.603259,102.6700,95.89152,0.08691509633707395,0.015154749514716848
0,sh.600010,2.6400,1.5505387,0.07755102040816331,-0.36712707792009636
13,sh.600438,57.9600,51.71639,0.05038057267125762,-0.06276932398708635
23,sh.600893,45.1100,38.634968,0.049313793905559455,-0.10130337743765816
18,sh.600690,26.6200,24.768166,0.04474097331240201,-0.027936986327358526
26,sh.601012,64.3500,59.408432,0.04126213592232997,-0.0386985112162469
49,sh.603986,132.0000,128.35306,0.029480580252690736,0.0010377309415701141
44,sh.601995,44.2000,40.176342,0.0269516728624537,-0.06653480458880001
14,sh.600519,2009.0100,1941.205,0.026523938480404796,-0.008121733148695687
47,sh.603501,159.5800,161.65753,0.025578406169666,0.03893015255964816
9,sh.600276,33.5200,31.783407,0.017916793197692238,-0.034819094706841414
10,sh.600309,93.4200,91.17229,0.016871666485250847,-0.007594568550074232
12,sh.600436,342.2900,335.76013,0.01630047505938248,-0.003087494548879244
35,sh.601628,31.7700,28.890287,0.013397129186602852,-0.07845973208000034
46,sh.603288,84.1800,82.18748,0.01311830545191972,-0.010861991673890903
24,sh.600900,23.3700,22.077698,0.011688311688311748,-0.044255508488907025
32,sh.601318,46.7600,44.630657,0.011027027027026959,-0.03501281738281248
22,sh.600887,38.0000,36.403713,0.010638297872340496,-0.03181613759791602
7,sh.600111,35.2100,35.836014,0.010619977037887418,0.028588226003022577
17,sh.600588,20.1400,19.169506,0.009018036072144353,-0.03960390415841453
20,sh.600809,302.8000,295.06476,0.00839216731051029,-0.017367928930394072
41,sh.601888,201.1200,195.71565,0.00812030075187975,-0.018969160572329224
15,sh.600570,45.2500,43.81197,0.0053321484114641216,-0.026616979402797614
1,sh.600028,4.0800,3.3543189,0.002457002457002311,-0.1758430326307142
16,sh.600585,33.9600,33.21573,0.0023612750885477762,-0.019606589145052422
4,sh.600036,40.2000,38.967236,0.001494768310911887,-0.029216851888750672
39,sh.601728,3.7400,3.0362558,0.0,-0.18816688863988873
11,sh.600346,21.9600,21.295364,-0.0013642564802182067,-0.03158870487117715
30,sh.601211,15.2000,14.124851,-0.001969796454366457,-0.07256393783278792
31,sh.601288,3.0100,2.313069,-0.0033112582781458233,-0.23408307776545845
21,sh.600837,9.7600,8.845315,-0.004081632653061273,-0.09741683882109975
43,sh.601919,13.6700,12.98441,-0.004369992716678817,-0.05430369366717358
28,sh.601088,31.2000,29.953337,-0.005102040816326481,-0.044855334320846874
29,sh.601166,19.1900,18.343134,-0.0056994818652849055,-0.049578553036704665
33,sh.601398,4.7400,4.0287504,-0.0062893081761005165,-0.15539823488119509
2,sh.600030,21.6300,19.936277,-0.006430868167202619,-0.084231631165532
25,sh.600905,6.2700,5.6271577,-0.007911392405063444,-0.10962694807897644
3,sh.600031,18.1100,17.571133,-0.008214676889375827,-0.037725484123104724
6,sh.600104,18.1900,16.79339,-0.00925925925925919,-0.08532732712157665
8,sh.600196,43.2000,42.67258,-0.010082493125572856,-0.022168177841564107
42,sh.601899,9.2000,8.602826,-0.010752688172043112,-0.07496493349793143
40,sh.601857,5.3400,4.671077,-0.011111111111111183,-0.134985782482006
38,sh.601688,14.4800,13.519511,-0.011604095563139905,-0.07716646943076078
36,sh.601633,39.9100,36.905857,-0.012373174956693878,-0.0867147466918673
34,sh.601601,23.4400,22.289759,-0.013468013468013518,-0.06187884333960547
37,sh.601668,5.4300,4.791974,-0.016304347826086918,-0.13188875585362525
5,sh.600048,16.2300,15.322932,-0.02051901025950509,-0.07526057674428677
48,sh.603799,89.6100,87.798515,-0.02343068875326948,-0.043172239321880856
27,sh.601066,28.6500,25.159384,-0.041806020066889604,-0.15854903766542772
