,code,real,predic,real_pct,pre_pct
124,sh.603160,68.12,57.800648,0.09995155821088342,0.014614343643188477
1,sh.600010,2.49,1.9802566,0.05957446808510647,0.05616569519042969
26,sh.600276,38.94,35.928833,0.04987867349689923,0.060179948806762695
147,sz.000157,6.46,7.4172354,0.04870129870129869,0.01702249050140381
125,sh.603185,163.5,135.04794,0.04814411180203848,-0.010931313037872314
24,sh.600196,46.0,43.633404,0.04332048083465634,-0.008445322513580322
10,sh.600031,19.84,19.66577,0.04092339979013637,0.031008124351501465
128,sh.603260,122.06,117.90054,0.034757544930484885,-0.028469502925872803
75,sh.601238,15.76,19.121683,0.034120734908136496,0.022885441780090332
91,sh.601668,5.47,6.3407044,0.02819548872180433,-0.010095775127410889
73,sh.601225,21.76,21.954039,0.02738432483474984,0.04549729824066162
6,sh.600019,6.18,7.433582,0.02657807308970117,-0.005610823631286621
65,sh.601117,9.63,11.054283,0.023379383634431594,0.042484283447265625
7,sh.600025,7.15,8.400267,0.022889842632331847,0.016635894775390625
83,sh.601390,6.280000000000001,7.3355017,0.022801302931596323,0.004180192947387695
133,sh.603486,124.45,115.23773,0.021002543276724905,0.03861963748931885
46,sh.600760,61.68,59.2088,0.02034739454094292,0.0016840696334838867
51,sh.600886,10.700000000000001,11.694922,0.019047619047619202,0.002926349639892578
64,sh.601100,62.86000000000001,60.436806,0.018470511989630678,0.05755341053009033
41,sh.600588,22.1,21.25622,0.017964071856287456,0.014255762100219727
48,sh.600795,3.9800000000000004,4.8874063,0.01790281329923271,-0.03387051820755005
126,sh.603195,155.55,152.00385,0.017265057877182688,0.014316439628601074
117,sh.601985,6.97,7.9204826,0.0160349854227404,0.006661534309387207
2,sh.600011,7.15,8.402423,0.015625,-0.016857147216796875
138,sh.603882,83.43,81.15778,0.01066020593579653,0.03923642635345459
57,sh.600989,14.8,16.317715,0.010238907849829282,0.021713614463806152
16,sh.600089,27.67,27.293434,0.010222709017889686,-0.02650541067123413
87,sh.601618,3.53,4.822819,0.008571428571428452,0.007391452789306641
40,sh.600585,35.56,34.672176,0.007936507936507908,0.005698084831237793
30,sh.600352,10.25,11.469268,0.006876227897838927,0.005024909973144531
103,sh.601825,6.3100000000000005,8.074316,0.006379585326953929,0.02019655704498291
53,sh.600905,6.33,7.3769855,0.006359300476947549,-0.022177398204803467
56,sh.600941,60.84,60.322422,0.005619834710743898,0.004502773284912109
89,sh.601633,37.23,42.399754,0.00512958963282939,0.03517341613769531
